,Title of Review,Review Description,Date of Review,No. of stars
137,"Zizzi — Silverburn, Glasgow","My sister and I hosted family (father and younger brother) from overseas and wanted to eat at an Italian restaurant. While I suggested Tony Macaroni, my sister suggested Zizzi's because we were shopping at Silverburn. Around 20:00 while still at Flannels, my sister called Zizzi's to book a table for 4 and they offered us a slot at 21:00. We arrived on time and there were only two other tables so we were seated and offered menus. The issues began after we placed our orders. A few minutes after taking our orders, our waitress (name on the receipt states Keira) came back and said that ""actually, we close at 22:00 today."" I asked what she meant by that as it sounded as if they weren't going to proceed with our order when they themselves gave us the table for four at 21:00 when we called ahead. The young waitress was clearly nervous, unsure of herself and stammered that she wasn't sure what to say but had to let us know then she walked away. We gathered that she had been instructed by the shift supervisor to let us know of the closing time and was nervous about the prospect (presumably to galvanize us into eating quickly). Starters were brought to our table and it was immediately obvious that the waitress was serving at breakneck speed as she placed the plates on the table hastily as we scrambled to make space for her before the plate was placed on top of our phones. As we ate our starters she would come back frequently to ask if we were done. In fact, at one point, when my sister — who wasn't done and still had half her starter on her plate — leaned back in her seat for a small break, the waitress said ""finished, yeah..."" and went to grab the plate before my sister stuck an arm out to stop her and inform her that she wasn't done.Mains were more of the same affair: brought to the table and placed hastily down, parmesan sprinkled quickly and she was gone (had to ask for more cheese for my 8-year-old brother). Even before we were done eating my dad suggested we asked for the bill to keep the peace, so we did that and paid before finishing to eat. Once done we immediately left before we were harassed further. I'm sorry to report that for their first time in Scotland it was not a great dining experience and we will certainly not be returning. We're not ones not to leave a tip but it was so hard to find any good points worth tipping on this occasion so we paid the £93.45 on our bill and left. In hindsight, we should have left the moment we were made aware of the closing time as it was a harbinger of bad service to come. I even suggested as much to my family out of fear the food would be undercooked in a rush to get us out the door. Alas, we stayed when we could've spent the near-£100 at a place where the food was worth that price tag for 3 adults and an 8-year-old. Happy for management to confirm my story via CCTV footage from 21 July 2023 between 21:00 and payment timestamp on the receipt of 21:56.","Sep 18, 2023",Rated 1 out of 5 stars
138,Disgusting service,"After receiving the most diabolical pizza's in our take away, we were promised a refund by head office.  Still waiting 6 weeks later...","Feb 1, 2023",
139,A family party celebrating a 70th B'day…,"A family party celebrating a 70th B'day we went to Zizzi's in Henley. Our drinks took 15 minutes to come; 3 out of 4 starters arrived so we had to ask for the fourth which they didn't charge for. After 1 and a half hours we got our main course which was nothing to write home about. Service appalling, food not much good and the ladies toilets were dirty. WE WON'T BE GOING BACK","Aug 23, 2022",Rated 1 out of 5 stars
140,Poor service! Leeds,Service was horrific - so slow. The pizzas were cool on arrival.  They brought the bill and asked if we wanted to leave a tip - I don't think so! It's expensive in Zizzi and the least you should expect is a hot pizza!,"Updated Jul 27, 2022",Rated 3 out of 5 stars
141,Awful meal and restaurant,"We had an awful meal at zizzi the strand near charring cross. My daughter asked if she could have spaghetti instead of chips with her meal, and was told no, she would have to pay an additional meal price for pomadoro!! If you look at the meals they are not cheap, to pay for an additional meal is ridiculous! The sharing platter was all cold, all starters came out with the mains? When we questioned this, we were told “ yes, this is how we do this, otherwise we have to wait for you to finish your starters to then bring out your mains” ??? I have never heard of such rubbish. Will not go back to zizzi’s again. Dreadful experience. And cost a lot of money for that experience too!","Aug 3, 2022",Rated 1 out of 5 stars
142,"Ordered vegan pizza, given dairy cheese. No refund offered","I had a bad experience with a recent click and collect order at Earl’s Court. I ordered vegan items only , including the vegan pizza and fudge cake. I collected my order from the restaurant and took it back to my hotel. On opening the pizza box, I saw immediately that this was real, dairy cheese. It was obvious because of how it looks, and because I’ve had the vegan pizza at Zizzi before. It looks very different. I called the restaurant, and they didn’t seem to believe me. Their only suggestion was to bring the pizza back to the restaurant for them to check. I did this, and the chef confirmed that it was dairy cheese. They made me a new pizza, but by the time I was actually eating it was over an hour after I initially picked up my order.No refund was offered. I was offered a free drink or free cake but I did not accept these (I already had ordered a cake and was not thirsty).Disappointing.","Apr 4, 2023",
143,Never again !,"The cost for 3 pizza no drinks 1 starter £60???? I complained to head office got a £10 free drinks voucher.The food was very thin base with hardly anything much sprinkled on top . I understand margins but this is not going to get you repeat custom. Which makes us feel we were not heard . 1 mushroom sliced up as a added topping £1.75 its rip off.A spoon of ham thinly sprinkled £1.75 8 olives £1.75???? what is going on/??? .I'm not suprised every other restaurant was packed and this one wasn't . The drinks voucher is worth £1 to Zizzi they sent me after complaining to head office and I feel a real insult to our complaint as why would we go specially for drinks? ., I wouldn't be suprised if they go bust.Shame on you Zizzi for not listening to customers the food we had was tasty but too stringently made ...We wont return !!!","May 17, 2023",
144,Restaurant run down and looked tired,"Exeter zizzi was a dirty run down establishment toilets over flowing and a mess , food over priced and over rated my wife had the salmon pasta which was so dry cause they forgot the sauce, staff very pleasant other than that","Mar 27, 2023",Rated 1 out of 5 stars
145,The Light Leeds - what an absolute joke,Booked here as we were going to see Disney on Ice at 6.30pm. We booked the table at 4pm and at 5.45pm we still hadn't received our food. Ended up having to walk out in the end with 3 upset little girls. Will not be returning!!! We didn't even get an explanation,"Mar 5, 2023",Rated 1 out of 5 stars
146,"Double charged, not refunded.","Failure to refund as promised, unbelievably unprofessional behaviour.My girlfriend and I were double charged at zizzi fosse park in June, we were belittled, lied to and embarrassed by the manager in front of other diners who made out that we were trying to steal when we told them we had already paid, even though we were super polite about it. We complained through head office and through chasing it multiple times after 1 week got a partial refund, even though we were promised, in writing, a full refund because I was left so upset by the managers behaviour towards us.We have since been ignored after multiple attempts to sort this out privately so I’m left with no option but to publicly review which I made clear to them I didn’t want to do. But that was when I thought the behaviour was limited to one bad apple, I now see that it’s a culture.","Sep 22, 2022",Rated 1 out of 5 stars
147,My first and last experience,"My first and last experience! Zizzi Manchester Piccadilly was terrible. Me and my sister were craving Italian food and always wanted to try Zizzi. The staff were rude and left us waiting to order for so long. I looked the waiter in the eye and showed that we want to order. He kept going around all the tables asking if the need anything expect us! After 30 min he came and was so rude to us. We ordered pizza and pasta and both were terrible, we had to change the pizza as it smelled like something was off. Not going again!","Oct 22, 2022",Rated 1 out of 5 stars
148,Very disappointed,"I have been visiting Zizzi’s restaurant in Bexleyheath for years. Last week three of us went there on Thursday at 7.30 pm for a long awaited reunion. The restaurant was fairly full the empty tables were covered in used crockery and empty glasses which were not cleared away for sometime. The waiter was quite abrupt and wanted to take our food order but we asked for drinks first. We waited for quite some time when he came over again, asking to take the food order not at all happy when we said we were still waiting for our drinks which had been sitting on the bar for quite sometime. There seemed to be an ongoing issue between the two male staff members. After placing out order the starters came fairly quickly but were not up to usual standard.  Before the starter plates were cleared away the main courses arrived and plates had to be shuffled around. The atmosphere continued between the two waiters and no offer to clear the table of main course plates. We began to feel the restaurant getting colder it was now about 9.30pm no one came back to us for pudding order or coffee. The next time we saw somebody they were wanting us to pay the bill. Sadly, I will not be going there again.","Nov 18, 2022",Rated 2 out of 5 stars
149,Ordered Zizzi takeaway pizza,"Ordered Zizzi takeaway pizzaAbsolutely awful and all 4 of us felt the same, apparently came from Greenwich. Avoid.","Jul 21, 2023",Rated 1 out of 5 stars
150,Visited Marlow for lunch with the…,"Visited Marlow for lunch with the grandkids. They love pizza, but neither of them enjoyed theirs here, my salad was flavourless and because they are allergic to the squash served we had to pay £5.90 for two apple juices.Waste of money and not a great experience.","Aug 31, 2022",
151,Cheerful service,Myself and my daughter had lunch at the Nottingham branch. The waiter was so friendly and efficient and the food was great .,"Jan 23, 2023",Rated 5 out of 5 stars
152,Sevenoaks Zizzi,"Went to the Sevenoaks Zizzi.  My first choice had run out, at 7 on a Thursday evening, so ordered the ""super"" zucca salad, which turned out to be anything but.   A very small amount of slightly brown salad leaves, 2 pieces of butternut, 2 small pieces of goats cheese, about a teaspoon of lentils and one strip of courgette. Thank goodness I'd asked for the with chicken option, otherwise I'd have starved. I'd hoped the chicken would be chargrilled but it was the sort of sliced chicken you get in bags in Iceland. And I think they forgot to add the dressing.   the whole ""meal"" was about the size of a side salad, spread out into a big plate. I think it says under 600 calories on the menu, but was probably under 200.  Very very very disappointing for £12.75....plus £2 for the chicken.","Aug 22, 2022",Rated 1 out of 5 stars
153,Food quality at its lowest,"It was three years ago that I stopped going to Zizzi because of the lower food quality.Today I decided to order a pizza for delivery £13 more or less.I struggled to eat it , i can honestly say that it was the worse pizza i had in a very long time. Quality of toppings is abysmal. Base was a joke. A £4 pizza from Sainsbury’s would have been better.This is definitely the last time I would buy anything from Zizzi.A total disaster.","Jan 10, 2023",Rated 1 out of 5 stars
154,The rainbow lasagne was completely…,The rainbow lasagne was completely tasteless. It may have been vegan but it didn’t need to lack taste or the ‘sheets’ to be almost mush.,"Mar 31, 2023",Rated 2 out of 5 stars
155,Choose your food carefully…….,"We were served by Jake who did not seem bothered if we were there or not? Which was odd as we went at around 4pm & here was no one else there. I has arancini which were very dry & tasted of very little. No choice of dip. Main was belly pork, diced potato, carrots & spinach…..odd combination, but hey ho… pork was cooked nicely, potatoes looked golden but were not crispy and were “floury” inside. Carrots were hard & spinach on the bottom had disappeared. The whole meal needed more moisture or at least the option of some gravy or jus. It’s really poor value but the worst thing was that at no point did the staff ask us how our meal was even though I left half of mine. We had a gift voucher for £30, so only had to pay £23.50 but I left feeling “robbed” at that amount. It was my Birthday, they didn’t know that as no one bothered to ask….as I say be careful what you order.","Jul 3, 2023",Rated 1 out of 5 stars
156,A NON dog-friendly restaurant,"A NO dog-friendly restaurant, not even outdoor.Mediocre food not even comparable to the real Italian cuisine!A place to avoid!","May 20, 2023",Rated 1 out of 5 stars
157,Absolutely amazing food and service!,"For the past 15 years or so, a number of friends have been attending a monthly 'lads curry night out' at a local Indian restaurant on a Monday night. There would sometimes be upwards of 20 of us at times.Sadly, over the past few years, the food gradually deteriorated to the point where some of us, including me, just didn't want to go anymore, so, I proposed that we try somewhere else, and my immediate suggestion was Zizz in Bedford.I booked a table for 4 of us as trial on Thursday night.We were greeted by Kyra, Palma and Grant, all of whom were very welcoming.We were shown to our table by Reece and from there on, we were treated with respect, courtesy and it would seem that they just couldn't do enough for us.We ordered some assorted garlic bread starters which were absolutely delicious.The portions were enough for us to just eat the starters and be done! But moreover, the taste was amazing.We'd all ordered some Rustica pizza's and even though we were almost full up from the starters, we persevered and finished the whole lot! They were so delicious that we just couldn't stop, so, no doggy bags were needed!Throughout our dining experience that night, we were looked after by Grant, Kyra, Palma, Reece and Amy, all of whom were absolutely brilliant.All my friends were so impressed that they want to return, both with their families and with all the rest of the lads that attended the 'lads curry night out'.We have now decided to make this the new 'lads Zizzi night out', so we'll be going to the Bedford Zizzi from now on!Well done Grant and the rest of all those that I've mentioned in this review.Great food, great atmosphere and great service.Well done guys, and keep up the great service.Vince","Aug 13, 2022",
158,Cold pizza and ‘crispy pork belly’ just…,Cold pizza and ‘crispy pork belly’ just big lump of undercooked fat. Couldn’t eat it.  Zizzi should make sure they have a trained chef in the kitchen. 20% off food bill. Won’t be revisiting.,"Jul 1, 2023",Rated 1 out of 5 stars
159,Went in for a quick lunch,Went in for a quick lunch. Place was empty. Ordered a sharing platter 19.00between us.Tried to order 2 glasses of wine and told we can only have drinks if we order a main meal. Never again,"Aug 22, 2023",Rated 1 out of 5 stars
160,Zizzi Dorchester - Thank you - Birthday Ruined!,"Family took me to Zizzi, Dorchester last Tuesday as a birthday treat.  Was very much looking forward to it as had heard great things.  Service was poor.  Waited a long time for waiter to take drinks order.  One of our group joked it was my birthday and said when we would be getting a free drink - the manager said the water is free - nice!  We then ordered starters - all good.  Then the main meal arrived.  Two out of the four dishes were frozen and the other two were luke warm.  We had to go and grab a waitress who apologised and said they would sort.  The said dishes arrived back in 10 mins when the rest of the group had finished their food scalding hot and with layers of pasta rock hard and inedible.  At no point did the manager come over and apologise for nearly giving us food poisioning.  Sent a lovely young waitress over to take any flack.  She did deliver the news that the mains would not be charged for but at no point did the manager make an appearance - not even to see if I wanted that free birthday drink!  Lovely restaurant, pleasant waitresses, awful Manager and Chef.  Thanks for ruining my birthday Zizzi!  Would also say at no point during the evening did the staff come over to check anything was ok, offer drinks or pepper, cheese, etc - we had to call or go and grab them.  Such a shame as potential to be a lovely restaurant.","Jun 19, 2023",Rated 1 out of 5 stars
161,Just Eat non delivery,"First time I have ordered from zizzis via just eat spent £32 and got nothing. Just eat says food delivered but we received nothing. Will never go again to a restaurant that uses this ""SERVICE""","Oct 11, 2022",Rated 1 out of 5 stars
162,"Sutton branch: Rude staff, rude manager and completely clueless.","I visited the Sutton branch with my autistic son, asked for the kids’ menu to have a mini garlic bread instead of the pizza that was on the menu, but Rumali (name listed on the receipt) told me that this was not an option. I asked repeatedly and explained that I was really surprised, because I have visited other r branches before where staff have been only too happy to accommodate this request. For a start, to make a mini garlic bread is not a huge diversion from the menu and secondly, surely, it’s cheaper for them to do this in lieu of an actual mini pizza? I spoke to the manager afterwards, an Eastern European lady who also stated that this was not an option. Again, I explained how shocked I was to hear this, given that other branches have always been only too happy to accommodate this simple request, but she was rather rude. At first, it seemed that she thought I was asking for a full sized garlic bread in place of the mini pizza, but eventually she appeared to understand my request and stated “I’ve never been asked for that in 4 years!” Pizza Express is only across the road from Zizzi in Sutton, so I shall be taking my custom there, the next time I’m in the area. Whilst I’m sure some of this may be down to a language barrier with waiting staff, the menu did actually clearly state “if you need to tweak a dish for your bambini, just ask us.” I pointed this out to the manager, only to be met with disdain. Appalling attitude towards customers explains why this branch was particularly quiet.","Apr 13, 2023",Rated 1 out of 5 stars
163,Henley on Thames - worst of the worst,"Henley on Thames. Just about the worst place I've ever been to. The staff looked like they'd come off the street, all spliffed up. The service was shoddy and chaotic and the restaurant itself was dirty, messy and generally dark and dank. Big waste of time. Hope they go bankrupt. They don't deserve to be open.","Aug 15, 2022",Rated 1 out of 5 stars
164,Normally good (canterbury) but the…,Normally good (canterbury) but the cheesy garlic bread was awful. Had full refund on deliveroo and tried again but was even worse!,"Aug 20, 2022",Rated 1 out of 5 stars
165,ZIZI at Fosse Park…Best avoided very poor.,"We first visited ZIZI at Fosse Park some time ago. Before we got very far the waitress listed all the items they did not have. They had pizza. The second time we ordered Calzone. The bottom of both was burned and inedible. We returned today hoping for third time lucky. Well my Beef Ragu was ok. I asked for pepper and Parmesan. The waitress returned with Parmesan but not with any pepper. My wife had Meatballs Casareccia. The pasta was over cooked and slimy. The meatballs tasteless, certainly no chilli. The whole thing was covered in breadcrumbs to the point that all the sauce was absorbed. No one asked us if our meals were satisfactory. When we went to pay my wife tried to explain why she had been unable to eat her food. We asked for someone senior to attend us. Instead another waitress arrived with the bill which she had discounted by £3.15. I paid and asked for a receipt. She refused to give me a receipt and walked off. It was quite obvious that no one cared whether the food was up to standard or not. A very poor experience and we shall not be returning.","Mar 9, 2023",Rated 1 out of 5 stars
166,ZIzzi Banstead …Very Poor,"ZIzzi Banstead Ate there for a lunch today .. No OJ , Unable to have anything on the Menu that needed frying ??Ordered the Beef Ragu pasta … zero flavour and 2 pieces of beef  (the size of a 5p piece) ..£18 Shocking …will not return","Jun 7, 2023",Rated 1 out of 5 stars
167,Great meal tonight Port Solent,"Great meal tonight Port Solent, server Nathan I think was really friendly. Good food fast service 👌","Oct 7, 2022",Rated 5 out of 5 stars
168,Poor service,"Poor service, overpriced meal and system obliges customers to tip. I will avoid in future.","Jun 4, 2023",Rated 1 out of 5 stars
169,food order forgotten,"ordered our food at 1.40, by 2.20 pm it hadn’t arrived but folks around us who sat down after us were served. i enquired about the delay - he said he would check and that ours was the next one out, 20 minutes later our food arrived with no apology. This was zizzis s in Solihull.","Dec 28, 2022",Rated 1 out of 5 stars
170,Bad experience start to finish,"Bad experience start to finish. Booked online for 4 people and was placed at a very small table suitable for 2 people. Whilst sat there the staff kept kicking one of our party's chairs everytime they went past our table. We asked to be moved as there was lots of couples placed on tables fit for 4 people, additionally there was 3 other table free that we would of have been happy with but in one of the rude members of staff said we can't be moved as other people have booked ps nobody else turned up in the time we was there. We was also told that there's nothing that can be done about our chair constantly being kick. I complained to staff and she was adamant we wasn't moving tables. We told the waitress we would leave our chairs out from the table as to block anyone kicking the chair as they pass. All of a sudden due to fire and h&s we got moved. The staff are Rude and when I complained I was told to leave she even swore at me.There is very Bad or no management Out of the 4 people we dealt they all had Bad social skills. We waiting for drink constantly for over 40 minute items of food was forgot and we wasn't updated. This will be our last time visiting zizzi which is a shame as we always enjoy the food.","Feb 11, 2023",Rated 1 out of 5 stars
171,Just miserable,"Just miserable, staff who clearly didn’t want to be there. Food mediocre and then to top it off coffee machine was switched off at 8.30pm because “they had to do a clean and get home”?!","Feb 1, 2023",Rated 1 out of 5 stars
172,Zizzi Westfield stratford,"Zizzi Westfield stratford Me and my sister went there on the 17th February. My sister order them mozzarella salad and a plate of half tomatoes turned up .After speaking to the waiter who didn't see a problem with this ,he told us to keep the dish and he would get the right one .then a lady came over to our table asked about the salad which we didn't understand as the waiter was sorting it .She was abrupt and spoke to us very rudely. She kind of ranted to us then said she was sorting the problem out and that she was the supervisor. Said the mozzarella salad was now off the menu and took the plate of tomatoes away that we was told to keep free of charge .My sister and I looked at each other in shock and puzzled .Then the waiter who was originally dealing with us came over with a plate of tomatoes and a quarter of mozzarella cheese sitting in the middle in which we told him to take back as this was certainly not the meal explained on the menu .I in the mean time order a latte with was full of coffee grounds asked them to take back .A man then came over to us and apologised and said we could have 20% off our bill which was very nice of him ..we are very disgusted by how rude the supervisor was to us and got the bill and left. My sister ended up with no meal at all that evening .We won't be returning !!","Feb 20, 2023",
173,One New Change needs a BIG change!,"My friend and I visited the Zizzi in One New Change, London. It was appalling. There were only about three other customers int he restaurant but the place was littered with dirty tables full of debris from other customers - left over food, dirty plates, glasses and cutlery. Despite there being three waitresses in the place they ambled around NOT clearing the tables, instead one was even texting on her 'phone. We watched as they walked past the dirty tables over and over again without even picking up a plate to take to the kitchen! It wouldn't have taken ten minutes to clear them and reset them - it's not even like the place was busy! It took at least 15 minutes for a waitress to come back and take our order and then we waited another 15 minutes for our food - with three customers in the place????By the time the food came out we still hadn't received our soft drinks either which is really not good enough.On seeing my friend's food I knew immediately that it was over cooked and she took one mouthful and knew the fish was off. My food was instead undercooked and the outside of the dish filthy dirty so when I took it off the waitress my hands got covered in the food that should have been INSIDE the dish. The waitress said that she would swap the fish but we decided that we did not want to eat in a restaurant with such blatant disregard  for either appearances, hygiene or indeed it's customers. We will not be back and indeed doubt we will want to visit a Zizzi restaurant again.","Sep 2, 2022",Rated 1 out of 5 stars
174,Ziizzi Marlow,"Ziizzi Marlow: 1 folded piza, 1 squid, beer & apple juice, 5£ as tips = 46£!!! It not even a mid range restaurant, simple pizzeria. Not worth a money.","Sep 11, 2022",Rated 1 out of 5 stars
175,Terrible Service & Constant Waiting!!,"Zizzi Manchester Corn ExchangeService: dreadful. Either waiting too long from wanting to place our order to dessert menu. I had to ask for everything. My granddaughter had a set meal and I had to ask for her drink and dessert. Staff spent more time talking to each other, and seemed to have little interest in customer service. The girl serving us seemed new, lacked confidence or common sense. Placed drinks order which took ages, then there was a drink missing.Food: Starter garlic bread with mozzarella & onions, cheese barely there and lots of onion. Kids starter fine. Main: my son and grandson ordered spaghetti carbonara with pancetta and chorizo. Arrived with huge slice of bacon on top and no chorizo in sight. Ravioli few pieces slightly burnt, very overcooked and tasteless. Child’s pizza was ok. Dessert: we were asked if we wanted the bill without ever being asked if we wanted the dessert menu. I had to ask for the child’s fruit bowl. Drinks: after first order where I had to ask for the missing drink, no further visit to the table to ask if we wanted more drinks. I had to ask for the chococino that came with the child’s meal.Facilities: staff using baby changing toilet meant my son had to wait 15 minutes before he could change my granddaughter.Seating: there was a huge area not being used other than by staff. We were seated at a table with 4 uncomfortable chairs next to the kitchen yet there was better seating available. People walking in were being turned away even though there were empty tables.My first ever visit to Zizzi and I can honestly say I won’t ever visit a Zizzi again!!!","Nov 13, 2022",Rated 1 out of 5 stars
176,Good eating place in Leicester Fosse…,Good eating place in Leicester Fosse Park. Plenty of room between tables. Food arrived quickly. Very nice waitress called Eden:),"Aug 19, 2022",Rated 4 out of 5 stars
177,Barbara the waitress in Hornchurch was…,Barbara the waitress in Hornchurch was really attentive and efficient Had a lovely meal and afternoon,"Apr 28, 2023",Rated 4 out of 5 stars
178,Overcharge bill,"I don't have anything wrong to say about the food, but I had a bad experience with the bill. I have been charged for two tables instead of one. The overcharge was £74.2 over my £54.","Nov 20, 2022",Rated 2 out of 5 stars
179,Zizzi Telford,"Went to Zizzi Telford as a family now in the current climate going out is a treat and out of all the restaurants that we could have chosen we decided to go here.So we walked in and stood by the door and waited as the sign says wait to be seated, eventually a woman says that she will e a few minutes and we continued to wait, a few minutes later we were seated with our menus.I had a discount code for one starter and ordered a couple of starters to share, drinks and the mains. I also showed the waitress the zillionaires member code as it says too (first time I used it) the waitress went off and then came back and said that I could not have the free starter, no explanation I just could not have it, she said do you want to speak to the manager I said yes.The manager comes over I explain I have a code she takes it and I said that the waitress said I cant have it, no explanation, so off she goes and then comes back and says that the code is not able to be used on a Friday and did I still want the starter I said yes and thanks for letting me know that it could not be used, and tells the waitress that I want the order still.The waitress comes over 5 minutes later and asks again do I still want the starter again yes I still want the starter.The starters arrived after 45minutes, now the restaurant was not busy, and once the starter was finished the mains took ages to arrive also.The food is ok and I like the flavours but the portion size has been reduced and I would not normally be hungry still after going out for a meal, and especially after eating fresh pasta which is filling, but on this occasion I was.The manager came over and I asked for the bill she walked off, I thought to go get the bill as she was by what looked like a till, then she disappeared and we could not see her, then we noticed her doing stuff behind the bar I think she was sorting glasses or stocking the fridge.So, we went to the front counter and eventually she came over and I paid, also it turns out that with the use of the zillionaires club I should have been entitled to a free garlic bread, but I have lost out on that now because should have been given to me on my visit.Overall not the best and I will think long and hard before returning, if I ever do. If I return I will post a new review.","Mar 2, 2023",Rated 3 out of 5 stars
180,Appalling experience,"Today a friend and I visited the One New Change  (St Paul’s) branch of Zizzi. To say we were disappointed is an understatement. On entry to the restaurant we saw 2 4 seater tables uncleared from previous meals. They were still uncleared when we left. There were a further 3 tables covered in debris. The restaurant was not busy, only a couple of tables were occupied. We were shown to a table and given menus. Eventually we ordered a main meal each and drinks. During our wait, little attempt was made to clear any of the tables. One of the waitresses made a half hearted attempt to clean some tables and the other waitress commented that she was happy to wipe tables but didn’t want to clear any. One of the waitress was texting on her phone or gossiping to her colleague. Goodness only knows how they’d cope if the restaurant was busy. After a wait,  the food arrived without the drinks. My salmon was over cooked and tasted bad, I believed it to be off. The potatoes were horrible. My friend’s risotto contained undercooked leeks, was a rather small portion and the plate had food smeared under the rim. We complained and the waitresses attempted to deal with it but by this time, the general apathetic attitude of the staff combined with a lack of attention to the customers  and surroundings, left us with no alternative but to leave. Frankly, I didn’t trust the staff to provide us with an edible meal after what we had experienced. This is the first time I have ever left a restaurant without paying. Nothing would have induced me to pay for such incompetence. I have eaten in my local branch of Zizzi and had enjoyable meals. I can only conclude that the staff haven’t been trained properly and the future looks bleak for this branch of Zizzi.","Sep 1, 2022",Rated 1 out of 5 stars
181,Awful meal.  Waste of money,"My wife and I went to Zizi Wokingham tonight.  My wife  ordered the pork meatballs with pasta.  She struggled through the meal.  No mention on the menu that it had hot spices in it.  It was so hot that she could only eat some of it.  I tried it and it was so spicy that i couldn't eat more than one piece of pasta.  We told the waitress, who by the way was very nice.  We said she should tell the cook that the meal was inedible.  She came back and merely said it had chilli flakes in the sauce. It was so over spiced and meant that my wife didn't have a meal.  So very disappointing and ruined our night out.","Aug 18, 2022",Rated 1 out of 5 stars
182,Staff at belfast excellent,Staff at belfast excellent. Great service and lovely food.,"Sep 1, 2022",Rated 5 out of 5 stars
183,They forgot about our order and only…,They forgot about our order and only when asked to check our food began to be prepared.,"Jun 4, 2023",Rated 1 out of 5 stars
184,Arrived 7.35 and didn't get our food,"Hampton Court - Arrived 7.35 and didn't get our food until gone 9pm.  No offer of another round of drinks until we asked.  Excuses of ""we're very busy"" and ""everyone's having to wait"" doesn't help when you're rather hungry on the verge of hangry.  You know when you're going out for a nice family meal and you don't have much lunch to ""save yourself"", well that was us.  The standard response to our enquiry on time was 2 minutes, in Zizzi speak this is 20 minutes.  When it finally did come, my husband's meal was completely forgotten (and came in another ""2 minutes""!), my daughter's side was forgotten - you guessed it, and when it did turn up, the ""large"" fries was no more than a small handful.  My dish arrived with zucchini and it clearly stated cauliflower on the menu.  I cannot stand zucchini and would have no way ordered it.  When questioned, the first waitress disappeared and never came back and it took me an absolute age to catch someone's eye to discuss it.  The new waitress (maybe the manager) picked up the menu and started to study it as if I were lying.  Firstly, don't they know their own menu and secondly, why do that to an already tetchy customer?  I was later told the ingredient list in the kitchen was different, so...?  I was so hungry by that point and everyone else was close to finishing their meals, so I just asked for something quick, like a garlic bread or something.  Yes, you guessed it, another Zizzi 2 minutes - I was ravenous and although family were offering their meals, I chose to wait.  As I got up to tell the waitress to cancel that order as I was simply done, I was told it was literally out of the kitchen - not quite, unless the kitchen is a phenomenally long way from the table.  I sat and nibbled a couple of pieces of shoe leather garlic bread but I was over it by that point.  We were offered a dessert on the house but as my dear old mum said ""we don't want to be here until midnight!"".  They did discount the bill, which saved us an argument but it was such a spoiled event for a family birthday.  Its not even like we were hidden away in a corner, we were right by the door and the pay station - really obvious we were sitting there for almost 2 hours with nothing in front of us.","May 4, 2023",Rated 1 out of 5 stars
185,Cheltenham Brewery branch,"Cheltenham Brewery branch. Staff were very accommodating, food very nice. Thankyou.","Mar 3, 2023",Rated 5 out of 5 stars
186,Even though the restaurant was busy the…,Even though the restaurant was busy the food was fab and the service was quick,"Dec 6, 2022",
187,We had a bad experience last night at…,"We had a bad experience last night at the York Zizzis restaurant. Firstly when the waitress came to take our order we asked to see the gluten free menu. We were handed a plastic folder with a list of every item on the menu with allergens listed. Which we found odd as have recently visited Pizza Express and Prezzo where they have a separate menu with all gluten free items on. Then when we tried to order our food, I explained I did not want cheese on my pizza. She asked if it was an allergy and I said yes. The waitress explained that we would have to order through their Speedy app as she could not take the order! We then spent ages trying to use the app and it would not let us remove an item from the pizza, there was only an option to add extras. We asked our waitress who explained she was new and she didn't know how to use the app, she got the manager to come over who also said she didn't know how to use it! So when I said could we just order through her she said yes but she would not be able to order me anything that has cheese on it! So I ended up having something off the menu I didn't really want. She was apologetic and said it was company policy. While we were in the restaurant (there were only 4 other tables of customers) the 3 waitresses turned down 4-5 groups of customers that came in asking for a table, they were asked if they had booked and told no we don't have a table for you if you haven't booked! The restaurant had maybe 10 spare tables it was after 8pm on a Monday evening! So not sure why they did this! I have worked in hospitality jobs for years and have to say that Zizzis need to get up to speed with the fact it is 2022!!","Aug 16, 2022",Rated 1 out of 5 stars
188,Service very slow at zizzi in hull,"Service very slow at zizzi in hull, then they tried charging us for starters that we didn’t even have and when telling her we didn’t have them starters she was trying to convince us we did so make sure you check your bills, she took ages trying to sort it and still didn’t get it right in the end we just ended up paying it because we was that late for our show","Apr 1, 2023",Rated 1 out of 5 stars
189,Good pizza and dessert,Good pizza and dessert. Overall 9/10 highly recommend. Good price.,"Oct 14, 2022",Rated 5 out of 5 stars
